sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
ERR171147	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1655346	99.27	Resolved by TB-Profiler	lineage4	lineage4.8.1	L4	No resistance detected by TB-Profiler	NO	None reported	72.91	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR171149	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1901984	99.09	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	83.00	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR171152	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1966932	99.10	Resolved by TB-Profiler	lineage4	lineage4.7	L4	No resistance detected by TB-Profiler	NO	None reported	86.43	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR171153	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1250233	99.11	Resolved by TB-Profiler	lineage4	lineage4.7	L4	No resistance detected by TB-Profiler	NO	None reported	47.20	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR7801260	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1681952	99.51	Resolved by TB-Profiler	lineage4	lineage4.3.4.2	L4	No resistance detected by TB-Profiler	NO	None reported	73.41	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR8774265	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	2784230	99.25	Resolved by TB-Profiler	lineage4	lineage4.6.2.2	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, ethambutol, streptomycin	121.84	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR1062841	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1428293	99.28	Resolved by TB-Profiler	lineage4	lineage4.1.1.3	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, ethionamide, isoniazid, pyrazinamide, cycloserine, ethambutol	60.05	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR1062843	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1552162	99.30	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol, streptomycin	65.04	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR1140949	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1966284	99.26	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	Pre-XDR-TB	YES	levofloxacin, moxifloxacin, rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol, streptomycin	79.18	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR3055715	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	276696	99.01	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	22.15	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR3055717	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	518261	97.95	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	RR-TB	YES	rifampicin	34.83	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR3724754	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	922142	99.11	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	Hr-TB	YES	ethionamide, isoniazid	39.29	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR3724765	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	635740	98.80	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	27.22	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR4034515	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1009943	99.25	Resolved by TB-Profiler	lineage4	lineage4.3.2	L4	No resistance detected by TB-Profiler	NO	None reported	43.10	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR4034592	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	590463	99.25	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	25.23	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
